iter	Passed	Remaining
411	4299	6136
412	4309	6125
413	4318	6113
414	4328	6101
415	4338	6090
416	4348	6079
417	4357	6066
418	4365	6053
419	4373	6039
420	4382	6026
421	4391	6014
422	4399	6001
423	4412	5993
424	4423	5985
425	4434	5975
426	4447	5967
427	4459	5960
428	4474	5954
429	4484	5944
430	4496	5935
431	4509	5928
432	4519	5917
433	4529	5907
434	4538	5895
435	4549	5885
436	4561	5876
437	4571	5865
438	4578	5851
439	4586	5837
440	4596	5826
441	4606	5815
442	4614	5802
443	4623	5789
444	4631	5775
445	4639	5762
446	4647	5749
447	4655	5736
448	4663	5723
449	4671	5709
450	4679	5696
451	4688	5683
452	4696	5671
453	4705	5658
454	4713	5646
455	4723	5635
456	4731	5622
457	4740	5610
458	4749	5597
459	4758	5586
460	4766	5573
461	4774	5560
462	4783	5547
463	4792	5536
464	4803	5526
465	4811	5514
466	4820	5501
467	4827	5488
468	4835	5475
469	4844	5462
470	4852	5449
471	4859	5436
472	4868	5423
473	4875	5410
474	4883	5397
475	4891	5384
476	4899	5372
477	4907	5359
478	4916	5347
479	4924	5334
480	4932	5322
481	4941	5310
482	4949	5297
483	4957	5284
484	4965	5272
485	4973	5260
486	4981	5247
487	4989	5235
488	5017	5243
489	5033	5238
490	5041	5226
491	5055	5219
492	5064	5208
493	5073	5196
494	5083	5186
495	5094	5176
496	5104	5166
497	5115	5156
498	5123	5144
499	5132	5132
500	5142	5122
501	5153	5112
502	5162	5100
503	5170	5088
504	5179	5077
505	5187	5064
506	5197	5053
507	5204	5040
508	5212	5028
509	5220	5015
510	5228	5003
511	5237	4991
512	5245	4979
513	5253	4967
514	5261	4954
515	5269	4942
516	5277	4930
517	5285	4917
518	5294	4907
519	5303	4895
520	5312	4883
521	5320	4871
522	5328	4859
523	5336	4847
524	5345	4836
525	5353	4823
526	5362	4812
527	5372	4802
528	5381	4791
529	5392	4782
530	5401	4770
531	5410	4759
532	5419	4748
533	5427	4736
534	5437	4725
535	5447	4715
536	5456	4704
537	5464	4692
538	5472	4680
539	5480	4668
540	5489	4657
541	5500	4647
542	5508	4636
543	5516	4624
544	5524	4612
545	5532	4600
546	5542	4589
547	5550	4577
548	5557	4565
549	5566	4554
550	5574	4542
551	5583	4531
552	5592	4520
553	5599	4508
554	5608	4496
555	5616	4484
556	5624	4473
557	5632	4461
558	5640	4449
559	5648	4438
560	5656	4426
561	5665	4415
562	5673	4403
563	5681	4392
564	5689	4380
565	5698	4369
566	5707	4358
567	5715	4346
568	5723	4335
569	5731	4323
570	5739	4312
571	5749	4301
572	5757	4290
573	5765	4278
574	5773	4267
575	5781	4256
576	5791	4246
577	5800	4234
578	5810	4224
579	5820	4214
580	5830	4205
581	5840	4194
582	5848	4183
583	5857	4172
584	5866	4161
585	5875	4150
586	5884	4139
587	5892	4128
588	5901	4117
589	5910	4107
590	5918	4096
591	5927	4085
592	5935	4073
593	5943	4062
594	5952	4051
595	5961	4040
596	5969	4029
597	5978	4018
598	5986	4007
599	5994	3996
600	6003	3985
601	6011	3974
602	6021	3964
603	6029	3952
604	6038	3942
605	6047	3931
606	6055	3920
607	6064	3909
608	6072	3898
609	6080	3887
610	6089	3876
611	6097	3865
612	6105	3854
613	6113	3843
614	6121	3832
615	6129	3821
616	6138	3810
617	6146	3799
618	6154	3788
619	6163	3777
620	6172	3766
621	6181	3756
622	6193	3747
623	6204	3738
624	6213	3727
625	6224	3718
626	6234	3708
627	6247	3700
628	6258	3691
629	6268	3681
630	6277	3670
631	6286	3660
632	6296	3650
633	6305	3639
634	6314	3629
635	6323	3618
636	6332	3608
637	6340	3597
638	6349	3587
639	6358	3576
640	6367	3566
641	6375	3555
642	6384	3544
643	6393	3534
644	6402	3523
645	6410	3512
646	6418	3502
647	6427	3491
648	6436	3481
649	6444	3470
650	6453	3459
651	6462	3449
652	6470	3438
653	6479	3427
654	6488	3417
655	6500	3408
656	6510	3399
657	6519	3388
658	6530	3379
659	6542	3370
660	6551	3359
661	6559	3348
662	6567	3338
663	6575	3327
664	6584	3317
665	6592	3306
666	6601	3295
667	6609	3284
668	6617	3274
669	6626	3263
670	6635	3253
671	6643	3242
672	6652	3232
673	6660	3221
674	6668	3210
675	6676	3200
676	6684	3189
677	6693	3178
678	6702	3168
679	6710	3158
680	6719	3147
681	6727	3136
682	6735	3126
683	6743	3115
684	6751	3104
685	6759	3094
686	6768	3083
687	6777	3073
688	6785	3062
689	6793	3052
690	6802	3042
691	6810	3031
692	6819	3020
693	6827	3010
694	6835	2999
695	6844	2989
696	6852	2978
697	6860	2968
698	6868	2957
699	6876	2947
700	6885	2936
701	6893	2926
702	6902	2915
703	6910	2905
704	6918	2894
705	6926	2884
706	6934	2873
707	6943	2863
708	6951	2853
709	6959	2842
710	6968	2832
711	6976	2821
712	6985	2811
713	6993	2801
714	7001	2790
715	7010	2780
716	7018	2770
717	7026	2759
718	7034	2749
719	7043	2739
720	7051	2728
721	7059	2718
722	7068	2707
723	7076	2697
724	7084	2687
725	7093	2677
726	7102	2666
727	7111	2657
728	7120	2646
729	7129	2637
730	7137	2626
731	7146	2616
732	7155	2606
733	7163	2596
734	7172	2585
735	7179	2575
736	7188	2565
737	7197	2555
738	7205	2544
739	7214	2534
740	7222	2524
741	7231	2514
742	7239	2504
743	7247	2493
744	7255	2483
745	7266	2474
746	7275	2464
747	7282	2453
748	7291	2443
749	7299	2433
750	7308	2423
751	7315	2412
752	7324	2402
753	7332	2392
754	7340	2382
755	7352	2372
756	7361	2363
757	7370	2353
758	7379	2343
759	7388	2333
760	7396	2323
761	7408	2313
762	7419	2304
763	7430	2295
764	7438	2285
765	7446	2274
766	7454	2264
767	7462	2254
768	7471	2244
769	7480	2234
770	7488	2224
771	7496	2213
772	7504	2203
773	7512	2193
774	7520	2183
775	7528	2173
776	7536	2163
777	7544	2152
778	7552	2142
779	7560	2132
780	7568	2122
781	7577	2112
782	7585	2102
783	7593	2091
784	7600	2081
785	7609	2071
786	7617	2061
787	7626	2051
788	7633	2041
789	7641	2031
790	7650	2021
791	7662	2012
792	7673	2002
793	7681	1992
794	7689	1982
795	7697	1972
796	7706	1962
797	7718	1953
798	7726	1943
799	7734	1933
800	7742	1923
801	7750	1913
802	7758	1903
803	7767	1893
804	7775	1883
805	7783	1873
806	7791	1863
807	7799	1853
808	7807	1843
809	7815	1833
810	7824	1823
811	7831	1813
812	7839	1803
813	7847	1793
814	7855	1783
815	7864	1773
816	7872	1763
817	7879	1753
818	7887	1743
819	7895	1733
820	7903	1723
821	7911	1713
822	7920	1703
823	7928	1693
824	7936	1683
825	7943	1673
826	7951	1663
827	7961	1653
828	7972	1644
829	7980	1634
830	7989	1624
831	7997	1614
832	8007	1605
833	8016	1595
834	8023	1585
835	8032	1575
836	8039	1565
837	8047	1555
838	8055	1545
839	8063	1535
840	8071	1526
841	8079	1516
842	8087	1506
843	8095	1496
844	8103	1486
845	8111	1476
846	8120	1466
847	8128	1456
848	8135	1447
849	8143	1437
850	8151	1427
851	8158	1417
852	8166	1407
853	8174	1397
854	8181	1387
855	8189	1377
856	8197	1367
857	8204	1357
858	8212	1348
859	8219	1338
860	8227	1328
861	8234	1318
862	8242	1308
863	8250	1298
864	8257	1288
865	8266	1279
866	8273	1269
867	8281	1259
868	8289	1249
869	8298	1239
870	8305	1230
871	8314	1220
872	8321	1210
873	8330	1200
874	8337	1191
875	8345	1181
876	8353	1171
877	8362	1161
878	8369	1152
879	8379	1142
880	8387	1132
881	8399	1123
882	8408	1114
883	8417	1104
884	8425	1094
885	8433	1085
886	8442	1075
887	8450	1065
888	8459	1056
889	8467	1046
890	8476	1037
891	8485	1027
892	8497	1018
893	8507	1008
894	8517	999
895	8526	989
896	8535	980
897	8544	970
898	8552	960
899	8560	951
900	8568	941
901	8576	931
902	8583	922
903	8592	912
904	8600	902
905	8609	893
906	8617	883
907	8629	874
908	8638	864
909	8645	855
910	8653	845
911	8661	835
912	8668	826
913	8676	816
914	8684	806
915	8692	797
916	8699	787
917	8707	777
918	8715	768
919	8722	758
920	8730	748
921	8737	739
922	8745	729
923	8753	719
924	8761	710
925	8769	700
926	8777	691
927	8785	681
928	8794	672
929	8802	662
930	8810	652
931	8817	643
932	8825	633
933	8833	624
934	8842	614
935	8851	605
936	8859	595
937	8867	586
938	8875	576
939	8882	566
940	8890	557
941	8898	547
942	8906	538
943	8914	528
944	8921	519
945	8929	509
946	8937	500
947	8945	490
948	8952	481
949	8960	471
950	8968	462
951	8975	452
952	8983	443
953	8991	433
954	8999	424
955	9007	414
